PG-DAC,M.Sc. Computer,50
PG-DAC,M.Sc. Statistics,50
PG-DAC,B.E. Computer,50
PG-DAC,B.E. Electronics,50
PG-DAC,B.E. Mechanical,50
PG-DAC,B.E. Electrical,50
PG-DAC,B.E. Civil,50
PG-DMC,M.Sc. Computer,50
PG-DMC,B.E. Computer,50
PG-DMC,B.E. Electronics,50
PG-DMC,B.E. Electrical,50
PG-DESD,M.Sc. Computer,55
PG-DESD,B.E. Computer,55
PG-DESD,B.E. Electronics,55
PG-DESD,B.E. Electrical,55
PG-DBDA,M.Sc. Computer,55
PG-DBDA,M.Sc. Statistics,55
PG-DBDA,B.E. Computer,55
PG-DBDA,B.E. Electronics,55
PG-DBDA,B.E. Electrical,55
PG-DGI,M.Sc. Computer,50
PG-DGI,B.E. Computer,50
PG-DGI,B.E. Electronics,50